ElapsedTime,Action,X,Y
0.03,Moved,2837,456
0.035,Moved,2836,456
0.038,Moved,2835,456
0.04,Moved,2834,456
0.042,Moved,2833,456
0.043,Moved,2832,456
0.044,Moved,2832,455
0.046,Moved,2831,455
0.047,Moved,2830,455
0.048,Moved,2829,455
0.049,Moved,2828,455
0.05,Moved,2827,455
0.052,Moved,2826,455
0.053,Moved,2825,455
0.054,Moved,2824,455
0.055,Moved,2823,455
0.056,Moved,2822,455
0.057,Moved,2821,455
0.058,Moved,2820,455
0.059,Moved,2819,455
0.06,Moved,2818,455
0.061,Moved,2817,455
0.062,Moved,2815,454
0.063,Moved,2814,454
0.064,Moved,2813,454
0.065,Moved,2811,454
0.066,Moved,2810,454
0.067,Moved,2808,454
0.068,Moved,2806,454
0.069,Moved,2805,454
0.07,Moved,2803,453
0.071,Moved,2801,453
0.072,Moved,2799,453
0.073,Moved,2797,453
0.074,Moved,2795,453
0.075,Moved,2793,453
0.076,Moved,2791,452
0.077,Moved,2789,452
0.078,Moved,2786,452
0.079,Moved,2784,452
0.08,Moved,2782,452
0.081,Moved,2780,451
0.082,Moved,2777,451
0.083,Moved,2774,451
0.084,Moved,2772,451
0.085,Moved,2769,450
0.086,Moved,2766,450
0.087,Moved,2764,450
0.088,Moved,2761,450
0.089,Moved,2758,449
0.09,Moved,2755,449
0.091,Moved,2752,449
0.092,Moved,2748,448
0.093,Moved,2745,448
0.093,Moved,2742,448
0.094,Moved,2739,448
0.095,Moved,2735,447
0.097,Moved,2731,447
0.097,Moved,2728,447
0.099,Moved,2724,446
0.099,Moved,2720,446
0.1,Moved,2716,446
0.101,Moved,2713,445
0.102,Moved,2709,445
0.103,Moved,2705,445
0.104,Moved,2700,444
0.105,Moved,2696,444
0.106,Moved,2691,444
0.107,Moved,2687,443
0.108,Moved,2682,443
0.109,Moved,2679,443
0.11,Moved,2674,442
0.111,Moved,2669,442
0.112,Moved,2664,442
0.113,Moved,2659,441
0.114,Moved,2654,441
0.115,Moved,2649,441
0.116,Moved,2644,440
0.117,Moved,2640,440
0.118,Moved,2634,440
0.119,Moved,2629,440
0.12,Moved,2623,439
0.121,Moved,2617,439
0.122,Moved,2611,438
0.123,Moved,2605,438
0.124,Moved,2601,438
0.125,Moved,2595,438
0.126,Moved,2589,438
0.127,Moved,2582,438
0.128,Moved,2576,437
0.13,Moved,2570,437
0.13,Moved,2563,437
0.131,Moved,2557,437
0.132,Moved,2552,437
0.133,Moved,2545,437
0.134,Moved,2538,437
0.135,Moved,2531,437
