ElapsedTime 	Action 	 X	Y
0.1	Moved	2841	450
0.104	Moved	2840	450
0.107	Moved	2839	450
0.109	Moved	2838	450
0.111	Moved	2837	450
0.113	Moved	2836	450
0.115	Moved	2835	450
0.116	Moved	2834	450
0.118	Moved	2833	450
0.119	Moved	2832	450
0.12	Moved	2831	450
0.121	Moved	2830	450
0.122	Moved	2830	451
0.123	Moved	2829	451
0.124	Moved	2828	451
0.125	Moved	2827	451
0.126	Moved	2826	451
0.127	Moved	2825	451
0.128	Moved	2824	451
0.129	Moved	2823	452
0.13	Moved	2822	452
0.131	Moved	2821	452
0.132	Moved	2820	452
0.133	Moved	2818	453
0.134	Moved	2817	453
0.135	Moved	2816	453
0.136	Moved	2815	453
0.15	Moved	2813	454
0.151	Moved	2788	458
0.152	Moved	2787	458
0.153	Moved	2784	458
0.154	Moved	2782	458
0.155	Moved	2780	459
0.156	Moved	2778	459
0.157	Moved	2775	459
0.158	Moved	2773	460
0.159	Moved	2770	460
0.16	Moved	2769	460
0.161	Moved	2766	461
0.162	Moved	2763	461
0.163	Moved	2761	461
0.164	Moved	2758	462
0.165	Moved	2755	462
0.166	Moved	2752	462
0.167	Moved	2750	463
0.168	Moved	2747	463
0.169	Moved	2744	463
0.17	Moved	2741	464
0.171	Moved	2738	464
0.172	Moved	2735	464
0.173	Moved	2732	465
0.174	Moved	2729	465
0.175	Moved	2725	465
0.176	Moved	2722	466
0.177	Moved	2718	466
0.178	Moved	2716	466
0.179	Moved	2712	467
0.18	Moved	2708	467
0.181	Moved	2705	467
0.182	Moved	2701	468
0.183	Moved	2697	468
0.184	Moved	2693	468
0.185	Moved	2689	469
0.186	Moved	2685	469
0.187	Moved	2682	470
0.188	Moved	2678	470
0.189	Moved	2674	470
0.19	Moved	2670	470
0.191	Moved	2666	471
0.192	Moved	2661	471
0.193	Moved	2657	471
0.194	Moved	2652	472
0.195	Moved	2648	472
0.196	Moved	2644	472
0.197	Moved	2640	472
0.198	Moved	2635	473
0.199	Moved	2631	473
0.2	Moved	2626	473
0.201	Moved	2621	473
0.202	Moved	2616	473
0.203	Moved	2611	474
0.204	Moved	2606	474
0.205	Moved	2602	474
0.206	Moved	2597	474
0.207	Moved	2592	474
0.208	Moved	2587	474
0.209	Moved	2581	475
0.21	Moved	2576	475
0.211	Moved	2571	475
0.212	Moved	2566	475
0.213	Moved	2560	475
0.214	Moved	2556	475
0.215	Moved	2551	475
0.216	Moved	2545	475
0.217	Moved	2539	475
0.218	Moved	2533	475
0.219	Moved	2528	475
0.22	Moved	2522	475
0.221	Moved	2516	475
0.222	Moved	2512	475
0.223	Moved	2506	475
0.224	Moved	2500	475
0.225	Moved	2494	475
0.226	Moved	2488	475
0.227	Moved	2482	475
0.228	Moved	2475	475
0.229	Moved	2469	475
0.23	Moved	2463	475
0.231	Moved	2458	475
0.232	Moved	2452	475
0.233	Moved	2446	475
0.234	Moved	2439	475
0.235	Moved	2433	475
0.236	Moved	2426	475
0.237	Moved	2419	475
0.238	Moved	2413	475
0.239	Moved	2406	475
0.24	Moved	2401	475
0.241	Moved	2394	474
0.242	Moved	2388	474
0.243	Moved	2381	474
0.244	Moved	2374	474
0.245	Moved	2367	473
0.246	Moved	2360	473
0.247	Moved	2354	473
0.248	Moved	2347	473
0.249	Moved	2341	472
0.25	Moved	2335	472
0.251	Moved	2328	472
0.252	Moved	2321	472
0.253	Moved	2313	471
0.254	Moved	2306	471
0.255	Moved	2299	471
0.256	Moved	2292	470
0.257	Moved	2285	470
0.258	Moved	2280	469
0.259	Moved	2272	469
0.26	Moved	2265	469
0.261	Moved	2258	468
0.262	Moved	2251	468
0.263	Moved	2243	468
0.264	Moved	2236	467
0.265	Moved	2229	467
0.266	Moved	2222	467
0.267	Moved	2217	466
0.268	Moved	2209	466
0.269	Moved	2202	466
0.27	Moved	2195	465
0.271	Moved	2188	465
0.272	Moved	2181	464
0.273	Moved	2173	464
0.274	Moved	2166	464
0.275	Moved	2161	463
0.276	Moved	2154	463
0.277	Moved	2146	463
0.278	Moved	2139	462
0.279	Moved	2132	462
0.28	Moved	2125	461
0.281	Moved	2118	461
0.282	Moved	2110	461
0.283	Moved	2103	460
0.284	Moved	2098	460
0.285	Moved	2091	460
0.286	Moved	2084	460
0.287	Moved	2076	459
0.288	Moved	2069	459
0.289	Moved	2062	458
0.29	Moved	2055	458
0.291	Moved	2048	458
0.292	Moved	2041	457
0.293	Moved	2036	457
0.294	Moved	2028	457
0.295	Moved	2021	457
0.296	Moved	2014	457
0.297	Moved	2007	456
0.298	Moved	2000	456
0.299	Moved	1993	456
0.3	Moved	1986	456
0.301	Moved	1979	455
0.302	Moved	1974	455
0.303	Moved	1967	455
0.304	Moved	1960	455
0.305	Moved	1954	455
0.306	Moved	1947	455
0.307	Moved	1940	455
0.308	Moved	1933	455
0.309	Moved	1926	454
0.31	Moved	1919	454
0.311	Moved	1914	454
0.312	Moved	1907	454
